2020-06-25 17:03:03.128828 ptpd2[21144].startup (notice)    (___) PTPDv2 started successfully on eno1 using "slaveonly" preset (PID 21144)
2020-06-25 17:03:03.128853 ptpd2[21144].startup (info)      (___) TimingService.PTP0: PTP service init
2020-06-25 17:03:03.129176 ptpd2[21144].eno1 (info)      (init) Observed_drift loaded from kernel: 11823 ppb
2020-06-25 17:03:03.229353 ptpd2[21144].eno1 (notice)    (lstn_init) Now in state: PTP_LISTENING
2020-06-25 17:03:03.678241 ptpd2[21144].eno1 (info)      (lstn_init) New best master selected: 503eaafffe092696(unknown)/1
2020-06-25 17:03:03.678275 ptpd2[21144].eno1 (notice)    (slv) Now in state: PTP_SLAVE, Best master: 503eaafffe092696(unknown)/1 (IPv4:172.16.1.49)
2020-06-25 17:03:04.678061 ptpd2[21144].eno1 (notice)    (slv) Received first Sync from Master
2020-06-25 17:03:05.678242 ptpd2[21144].eno1 (notice)    (slv) Received first Delay Response from Master
2020-06-25 17:03:13.128927 ptpd2[21144].eno1 (notice)    (slv) TimingService.PTP0: elected best TimingService
2020-06-25 17:03:13.128976 ptpd2[21144].eno1 (info)      (slv) TimingService.PTP0: acquired clock control
2020-06-25 17:03:41.995241 ptpd2[21144].eno1 (info)      (slv) TimingService: Timing domain shutting down
2020-06-25 17:03:41.995279 ptpd2[21144].eno1 (info)      (slv) TimingService.PTP0: PTP service shutdown
2020-06-25 17:06:55.517399 ptpd2[21305].startup (notice)    (___) PTPDv2 started successfully on eno1 using "slaveonly" preset (PID 21305)
2020-06-25 17:06:55.517441 ptpd2[21305].startup (info)      (___) TimingService.PTP0: PTP service init
2020-06-25 17:06:55.517900 ptpd2[21305].eno1 (info)      (init) Observed_drift loaded from kernel: 21273 ppb
2020-06-25 17:06:55.618102 ptpd2[21305].eno1 (notice)    (lstn_init) Now in state: PTP_LISTENING
2020-06-25 17:06:55.678018 ptpd2[21305].eno1 (info)      (lstn_init) New best master selected: 503eaafffe092696(unknown)/1
2020-06-25 17:06:55.678073 ptpd2[21305].eno1 (notice)    (slv) Now in state: PTP_SLAVE, Best master: 503eaafffe092696(unknown)/1 (IPv4:172.16.1.49)
2020-06-25 17:06:56.677594 ptpd2[21305].eno1 (notice)    (slv) Received first Sync from Master
2020-06-25 17:06:57.677790 ptpd2[21305].eno1 (notice)    (slv) Received first Delay Response from Master
2020-06-25 17:07:05.517485 ptpd2[21305].eno1 (notice)    (slv) TimingService.PTP0: elected best TimingService
2020-06-25 17:07:05.517512 ptpd2[21305].eno1 (info)      (slv) TimingService.PTP0: acquired clock control
2020-06-25 17:10:09.748566 ptpd2[21305].eno1 (info)      (slv) TimingService: Timing domain shutting down
2020-06-25 17:10:09.748656 ptpd2[21305].eno1 (info)      (slv) TimingService.PTP0: PTP service shutdown
# Timestamp, State, Clock ID, One Way Delay, Offset From Master, Slave to Master, Master to Slave, Observed Drift, Last packet Received, One Way Delay Mean, One Way Delay Std Dev, Offset From Master Mean, Offset From Master Std Dev, Observed Drift Mean, Observed Drift Std Dev, raw delayMS, raw delaySM
2020-06-25 17:10:33.839402, init, 
2020-06-25 17:10:33.940129, lstn_init,  1 
2020-06-25 17:10:44.677750, slv, 503eaafffe092696(unknown)/1,  0.000053856, -0.000057045,  0.000129761,  0.000008616, 22359.086573242, S, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000008616,  0.000129761
2020-06-25 17:10:44.997726, slv, 503eaafffe092696(unknown)/1,  0.000056064, -0.000057045,  0.000125650,  0.000008616, 22302.041573242, D, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000008616,  0.000125650
2020-06-25 17:10:45.202335, slv, 503eaafffe092696(unknown)/1,  0.000057593, -0.000057045,  0.000124188,  0.000008616, 22302.041573242, D, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000008616,  0.000124188
2020-06-25 17:10:45.677689, slv, 503eaafffe092696(unknown)/1,  0.000057593, -0.000063088,  0.000124188, -0.000023344, 22302.041573242, S, 0.000000000, 0, 0.000000000, 0, 0, 0, -0.000023344,  0.000124188
2020-06-25 17:10:46.270669, slv, 503eaafffe092696(unknown)/1,  0.000057567, -0.000063088,  0.000120076, -0.000023344, 22238.953573242, D, 0.000000000, 0, 0.000000000, 0, 0, 0, -0.000023344,  0.000120076
2020-06-25 17:10:46.677736, slv, 503eaafffe092696(unknown)/1,  0.000057567, -0.000072427,  0.000120076, -0.000006351, 22238.953573242, S, 0.000000000, 0, 0.000000000, 0, 0, 0, -0.000006351,  0.000120076
2020-06-25 17:10:46.789387, slv, 503eaafffe092696(unknown)/1,  0.000056965, -0.000072427,  0.000118220, -0.000006351, 22166.526573242, D, 0.000000000, 0, 0.000000000, 0, 0, 0, -0.000006351,  0.000118220
2020-06-25 17:10:47.666805, slv, 503eaafffe092696(unknown)/1,  0.000056763, -0.000072427,  0.000114263, -0.000006351, 22166.526573242, D, 0.000000000, 0, 0.000000000, 0, 0, 0, -0.000006351,  0.000114263
2020-06-25 17:10:47.677781, slv, 503eaafffe092696(unknown)/1,  0.000056763, -0.000042275,  0.000114263,  0.000036130, 22166.526573242, S, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000036130,  0.000114263
2020-06-25 17:10:48.677732, slv, 503eaafffe092696(unknown)/1,  0.000056763, -0.000031507,  0.000114263,  0.000014380, 22124.251573242, S, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000014380,  0.000114263
2020-06-25 17:10:49.417161, slv, 503eaafffe092696(unknown)/1,  0.000056887, -0.000031507,  0.000110200,  0.000014380, 22092.744573242, D, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000014380,  0.000110200
2020-06-25 17:10:49.677726, slv, 503eaafffe092696(unknown)/1,  0.000056887, -0.000044489,  0.000110200,  0.000010291, 22092.744573242, S, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000010291,  0.000110200
2020-06-25 17:10:50.677737, slv, 503eaafffe092696(unknown)/1,  0.000056887, -0.000042401,  0.000110200,  0.000018681, 22048.255573242, S, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000018681,  0.000110200
